방탄소년단 | Bangtan Boys | BTS
二哈和他的白猫师尊 - 肉包不吃肉 | The Husky and His White Cat Shizun - Meatbun Doesn't Eat Meat
人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù
余污 - 肉包不吃肉 | Remnants of Filth - Meatbun Doesn't Eat Meat
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
六爻 | Liu Yao: The Revitalization of Fuyao Sect - priest
天使禁猟区 | Tenshi Kinryoku | Angel Sanctuary
天涯客 | Faraway Wanderers - priest
山河令 | Word of Honor (TV 2021)
崩坏：星穹铁道 | Honkai: Star Rail (Video Game)
平家物語 | Heike monogatari | The Tale of the Heike
镇魂 | Guardian (TV 2018)
陈情令 | The Untamed (TV)
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù
魔道祖师 | Módào Zǔshī (Cartoon)
魔道祖师Q | Módào Zǔshī Q (Cartoon)
21st Century CE Japanese Go Players RPF
A Memory Called Empire - Arkady Martine
A Song for the Basilisk - McKillip
A Song of Ice and Fire - George R. R. Martin
Alliance-Union - C. J. Cherryh
Ancient Egypt
Ancient History RPF
Angel: the Series
Animorphs - Katherine A. Applegate
Archer (Cartoon)
Astronomy (Anthropomorfic)
Biggles Series - W. E. Johns
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Anime &amp; Manga)
Bones (TV)
Boothill (Honkai: Star Rail)
Buffy the Vampire Slayer
Buffy the Vampire Slayer (TV)
Captain America
Captive Prince - C. S. Pacat
Check Please! (Webcomic)
Chronicles of the Kencyrath - Hodgell
Critical Role (Web Series)
Cyteen Series - C. J. Cherryh
Demon's Lexicon - Sarah Rees Brennan
Derek Hale
Discworld - Terry Pratchett
Dot and the Line - Norton Juster
Edo Era Japanese Go Players RPF
Fray (comic)
Fullmetal Alchemist
Fullmetal Alchemist: Brotherhood & Manga
Gideon the Ninth - Tamsyn Muir
Hamilton - Miranda
Harry Potter - J. K. Rowling
Hawk & Fisher - Simon R. Green
Hundred Thousand Kingdoms - N K Jemisin
I Have No Mouth and I Must Scream - Harlan Ellison
Imperial Radch Series - Ann Leckie
Interview With the Vampire (1994)
Iron Fist (TV)
Iron Man (Movies)
Japanese History RPF
Japanese Mythology & Folklore
Keeper's Chronicles - Tanya Huff
Lloyd Alexander - Westmark series
Machineries of Empire Series - Yoon Ha Lee
Merlin (TV)
Metropolis the Chase Suite - Janelle Monae
Minecraft (Video Game)
Near Eastern Mythology
Ned Stark
Nimona (Webcomic)
Pacific Rim (Movies)
Miraculous Ladybug
Ring of Swords - Eleanor Arnason
Spinning Silver - Naomi Novik
Star of the Guardians - Margaret Weis
Steve Jackson's Sorcery! - Steve Jackson
The Avengers (2012)
The Avengers (Marvel Movies)
The Avengers (Marvel) - All Media Types
The Big Bang Theory (TV)
The Defenders (Marvel TV)
The Divine Cities Series - Robert Jackson Bennett
The Expanse (TV)
The Falcon and the Winter Soldier (TV)
The Left Hand of Darkness - Ursula K. Le Guin
The Locked Tomb Series | Gideon the Ninth Series - Tamsyn Muir
The Locked Tomb Trilogy | Gideon the Ninth Series - Tamsyn Muir
The Masquerade Series - Seth Dickinson
The Mountain - Carter & Grammar (Song)
The Murderbot Diaries - Martha Wells
The Punisher (TV 2017)
The Sandman (TV 2022)
The Song of Achilles - Madeline Miller
The Vampire Diaries
The X-Files
Unspecified Fandom
Vampire Chronicles - All Media Types
Vampire Chronicles - Anne Rice
Vampire Diaries (TV)
Video Blogging RPF
Vorkosigan Saga - Lois McMaster Bujold
Voynich Manuscript (Book)
Ward Meachum
Wei Ying
